                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.54019,                0.35476,                0.81433,                0.99489,                0.99594,                 0.9948,                0.89684,                0.52838,                0.34181,                0.81056,             0.00096417,             0.00096417,             0.00096417
                     94,                0.56369,                0.35213,                0.80817,                0.99325,                0.99591,                0.99472,                0.89174,                0.53664,                0.34335,                0.80988,             0.00095911,             0.00095911,             0.00095911
                     95,                0.57108,                0.36271,                0.81951,                0.99297,                0.99559,                0.99463,                0.89354,                 0.5354,                0.34616,                0.81054,             0.00095406,             0.00095406,             0.00095406
                     96,                0.54973,                0.36082,                0.82814,                0.99271,                0.99545,                0.99415,                0.89589,                0.53481,                0.34231,                0.81012,             0.00094901,             0.00094901,             0.00094901
                     97,                0.55524,                0.35476,                0.81253,                0.99271,                0.99545,                0.99415,                0.89589,                0.53481,                0.34231,                0.81012,             0.00094396,             0.00094396,             0.00094396
                     98,                0.56234,                0.35073,                0.81505,                0.99354,                 0.9959,                0.99421,                0.89759,                0.52543,                0.33663,                0.80815,              0.0009389,              0.0009389,              0.0009389
                     99,                0.56578,                 0.3612,                0.81319,                0.99427,                0.99586,                0.99448,                0.89794,                0.52577,                0.33963,                0.80631,             0.00093385,             0.00093385,             0.00093385
                    100,                 0.5611,                0.35502,                0.82735,                0.99428,                0.99597,                0.99472,                 0.8991,                0.50935,                0.33336,                0.80564,              0.0009288,              0.0009288,              0.0009288
                    101,                0.54128,                0.35143,                0.81077,                0.99428,                0.99597,                0.99472,                 0.8991,                0.50935,                0.33336,                0.80564,             0.00092375,             0.00092375,             0.00092375
                    102,                0.51767,                0.33696,                0.81121,                0.99501,                0.99606,                0.99485,                0.89544,                0.51268,                0.32473,                0.80616,             0.00091869,             0.00091869,             0.00091869
                    103,                0.55477,                0.35216,                0.81746,                0.99258,                0.99638,                 0.9948,                0.88595,                0.53638,                0.33859,                0.80927,             0.00091364,             0.00091364,             0.00091364
                    104,                 0.5382,                0.34782,                0.81034,                0.99247,                0.99681,                0.99482,                0.87827,                0.54934,                0.34422,                0.80926,             0.00090859,             0.00090859,             0.00090859
                    105,                0.53252,                0.34366,                0.81939,                0.99247,                0.99681,                0.99482,                0.87827,                0.54934,                0.34422,                0.80926,             0.00090354,             0.00090354,             0.00090354
                    106,                0.56751,                0.35823,                0.82898,                0.99331,                0.99635,                0.99485,                0.89132,                0.52679,                 0.3392,                  0.808,             0.00089848,             0.00089848,             0.00089848
                    107,                0.55899,                0.35885,                0.81815,                0.99301,                0.99736,                0.99491,                0.89787,                0.51912,                0.33776,                0.80726,             0.00089343,             0.00089343,             0.00089343
                    108,                0.52568,                0.34405,                0.82057,                0.99584,                0.99367,                0.99488,                0.89977,                 0.5097,                0.32971,                0.80488,             0.00088838,             0.00088838,             0.00088838
                    109,                0.55396,                0.35717,                0.81191,                0.99584,                0.99367,                0.99488,                0.89977,                 0.5097,                0.32971,                0.80488,             0.00088333,             0.00088333,             0.00088333
                    110,                0.51813,                0.33634,                0.81431,                0.99388,                 0.9969,                0.99486,                0.89476,                0.52595,                0.32937,                0.80791,             0.00087827,             0.00087827,             0.00087827
                    111,                0.52383,                  0.345,                0.81981,                0.99339,                0.99818,                0.99475,                0.89547,                0.53268,                0.33363,                0.80948,             0.00087322,             0.00087322,             0.00087322
                    112,                0.50069,                 0.3294,                0.81442,                0.99492,                0.99786,                0.99466,                0.90002,                0.51099,                0.32611,                 0.8076,             0.00086817,             0.00086817,             0.00086817
                    113,                 0.5859,                0.36599,                 0.8137,                0.99492,                0.99786,                0.99466,                0.90002,                0.51099,                0.32611,                 0.8076,             0.00086312,             0.00086312,             0.00086312
                    114,                0.53582,                0.34066,                0.81353,                0.99392,                0.99756,                0.99484,                0.89934,                0.51773,                0.32385,                0.80823,             0.00085806,             0.00085806,             0.00085806
                    115,                0.52056,                0.34222,                0.81462,                0.99538,                0.99791,                 0.9949,                0.89833,                0.51459,                0.32432,                0.80721,             0.00085301,             0.00085301,             0.00085301
                    116,                0.53428,                0.34661,                0.81781,                0.99649,                0.99681,                0.99489,                0.90075,                0.50433,                0.33426,                0.80636,             0.00084796,             0.00084796,             0.00084796
                    117,                0.54038,                0.34659,                 0.8071,                0.99649,                0.99681,                0.99489,                0.90075,                0.50433,                0.33426,                0.80636,             0.00084291,             0.00084291,             0.00084291
                    118,                0.56455,                 0.3587,                0.81234,                0.99621,                 0.9958,                0.99483,                0.89969,                0.52363,                0.36216,                0.80841,             0.00083785,             0.00083785,             0.00083785
                    119,                0.54133,                0.37709,                0.81202,                0.99583,                0.99435,                0.99477,                0.89682,                0.53517,                0.37689,                0.80925,              0.0008328,              0.0008328,              0.0008328
                    120,                0.56738,                0.37932,                0.81211,                0.99484,                0.99368,                 0.9948,                0.89179,                0.53941,                0.36022,                0.80866,             0.00082775,             0.00082775,             0.00082775
                    121,                0.56158,                0.36276,                 0.8172,                0.99484,                0.99368,                 0.9948,                0.89179,                0.53941,                0.36022,                0.80866,              0.0008227,              0.0008227,              0.0008227
                    122,                0.53475,                 0.3487,                0.80934,                0.99568,                0.99688,                0.99482,                0.89007,                0.53043,                0.33572,                0.80743,             0.00081764,             0.00081764,             0.00081764
                    123,                 0.5277,                0.34643,                0.81276,                 0.9956,                0.99694,                0.99484,                0.89438,                0.51457,                  0.335,                0.80568,             0.00081259,             0.00081259,             0.00081259
                    124,                0.56182,                0.36186,                0.81032,                0.99526,                0.99779,                0.99489,                0.89349,                0.51674,                0.33652,                0.80649,             0.00080754,             0.00080754,             0.00080754
                    125,                0.52533,                 0.3538,                0.80941,                0.99526,                0.99779,                0.99489,                0.89349,                0.51674,                0.33652,                0.80649,             0.00080249,             0.00080249,             0.00080249
                    126,                0.52488,                0.34259,                0.80706,                0.99608,                0.99748,                0.99494,                0.89511,                0.51325,                0.32653,                0.80672,             0.00079743,             0.00079743,             0.00079743
                    127,                0.54208,                0.34504,                0.81383,                 0.9967,                0.99691,                0.99494,                0.90241,                0.49528,                 0.3174,                 0.8059,             0.00079238,             0.00079238,             0.00079238
                    128,                0.49972,                0.32848,                0.81061,                 0.9976,                0.99569,                0.99494,                0.90196,                0.50644,                0.32352,                 0.8073,             0.00078733,             0.00078733,             0.00078733
                    129,                 0.5222,                0.33846,                0.80952,                 0.9976,                0.99569,                0.99494,                0.90196,                0.50644,                0.32352,                 0.8073,             0.00078228,             0.00078228,             0.00078228
                    130,                0.52921,                 0.3356,                0.80889,                0.99697,                0.99561,                0.99491,                0.89837,                0.51652,                0.32958,                0.80673,             0.00077722,             0.00077722,             0.00077722
                    131,                 0.5078,                0.32265,                0.81527,                0.99649,                0.99689,                 0.9949,                0.90009,                0.50826,                0.32371,                 0.8076,             0.00077217,             0.00077217,             0.00077217
                    132,                0.50403,                0.32661,                  0.812,                0.99732,                0.99717,                0.99492,                0.89825,                 0.5172,                0.32227,                0.80785,             0.00076712,             0.00076712,             0.00076712
                    133,                0.48658,                0.31618,                0.81147,                0.99732,                0.99717,                0.99492,                0.89825,                 0.5172,                0.32227,                0.80785,             0.00076207,             0.00076207,             0.00076207
                    134,                0.53114,                0.33927,                 0.8195,                0.99603,                0.99826,                0.99484,                 0.9025,                0.50258,                0.31602,                0.80617,             0.00075701,             0.00075701,             0.00075701
                    135,                0.49843,                0.32124,                0.80892,                0.99598,                0.99761,                0.99482,                0.90616,                0.49206,                0.31146,                0.80413,             0.00075196,             0.00075196,             0.00075196
                    136,                0.48151,                0.31227,                0.80475,                0.99513,                0.99739,                0.99481,                0.90611,                0.49723,                0.31083,                0.80561,             0.00074691,             0.00074691,             0.00074691
                    137,                0.52934,                0.33136,                0.80584,                0.99513,                0.99739,                0.99481,                0.90611,                0.49723,                0.31083,                0.80561,             0.00074186,             0.00074186,             0.00074186
                    138,                 0.5077,                0.32727,                0.81923,                0.99589,                0.99738,                0.99481,                0.91054,                0.48734,                0.31003,                0.80466,              0.0007368,              0.0007368,              0.0007368
                    139,                0.50707,                 0.3208,                0.81083,                0.99619,                0.99725,                0.99482,                0.90485,                0.50058,                0.31187,                0.80577,             0.00073175,             0.00073175,             0.00073175
