                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.69782,                0.53316,                0.88151,                 0.9587,                 0.9723,                0.98058,                0.81997,                0.61276,                0.44526,                0.84342,              0.0011319,              0.0011319,              0.0011319
                     65,                0.68954,                0.52923,                0.85667,                0.96931,                0.97603,                0.98123,                0.82811,                0.58787,                0.43299,                0.84217,              0.0011272,              0.0011272,              0.0011272
                     66,                0.63136,                0.49713,                0.85475,                0.96931,                0.97603,                0.98123,                0.82811,                0.58787,                0.43299,                0.84217,              0.0011225,              0.0011225,              0.0011225
                     67,                0.66351,                0.52486,                0.85864,                0.97493,                0.98251,                0.98977,                0.85461,                0.56759,                0.41463,                0.83763,              0.0011178,              0.0011178,              0.0011178
                     68,                0.66595,                0.51871,                 0.8672,                0.97752,                0.98097,                0.98917,                0.84564,                0.59287,                0.43919,                0.83709,               0.001113,               0.001113,               0.001113
                     69,                0.63346,                0.52131,                0.87184,                0.97752,                0.98097,                0.98917,                0.84564,                0.59287,                0.43919,                0.83709,              0.0011083,              0.0011083,              0.0011083
                     70,                0.62778,                0.48753,                0.86615,                0.97675,                0.97506,                0.98969,                0.84827,                0.58335,                0.43809,                0.83569,              0.0011036,              0.0011036,              0.0011036
                     71,                0.62161,                0.48127,                0.85178,                0.98197,                0.97887,                0.99117,                0.86027,                0.55749,                0.41133,                0.83171,              0.0010989,              0.0010989,              0.0010989
                     72,                0.62286,                0.48421,                 0.8558,                0.98197,                0.97887,                0.99117,                0.86027,                0.55749,                0.41133,                0.83171,              0.0010942,              0.0010942,              0.0010942
                     73,                0.63731,                  0.503,                0.86714,                 0.9852,                0.97815,                 0.9917,                0.85638,                0.55791,                0.41006,                 0.8317,              0.0010895,              0.0010895,              0.0010895
                     74,                0.61802,                 0.4819,                0.85012,                0.98228,                0.97971,                0.99128,                0.86054,                0.54861,                0.40659,                0.83197,              0.0010848,              0.0010848,              0.0010848
                     75,                0.67834,                0.52889,                0.86044,                0.98228,                0.97971,                0.99128,                0.86054,                0.54861,                0.40659,                0.83197,                0.00108,                0.00108,                0.00108
